,#1,#2,#3,#4,#5,#6,#7,#8
0,Intro to Agr & Applied Econ,ALS,108,215,001,112,3.309,"[34.8, 19.6, 29.5, 7.1, 3.6, 3.6, None, None, None, None, None, None, 1.8, None, None]"
1,Climate Change Econ & Policy,ALS,108,246,001,23,3.31,"[17.4, 30.4, 34.8, 8.7, None, None, None, None, None, None, None, None, 8.7, None, None]"
2,Independent Study,ALS,108,299,080,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
3,The Real Estate Process,ALS,108,306,001,23,3.043,"[13.0, 30.4, 30.4, 13.0, 8.7, 4.3, None, None, None, None, None, None, None, None, None]"
4,The Internatl Ag Economy,ALS,108,319,001,19,2.921,"[15.8, 10.5, 47.4, 5.3, 15.8, 5.3, None, None, None, None, None, None, None, None, None]"
5,Farming Systems Management,ALS,108,320,001,53,3.5,"[43.4, 26.4, 20.8, 5.7, 3.8, None, None, None, None, None, None, None, None, None, None]"
6,Cooperatives,ALS,108,323,001,20,3.325,"[35.0, 25.0, 20.0, 10.0, 10.0, None, None, None, None, None, None, None, None, None, None]"
7,Issues in Food Systems,ALS,108,340,001,7,3.833,"[57.1, 28.6, None, None, None, None, None, 14.3, None, None, None, None, None, None, None]"
8,Environmental Economics,ALS,108,343,001,38,2.897,"[23.7, 18.4, 21.1, 15.8, 13.2, 2.6, 5.3, None, None, None, None, None, None, None, None]"
9,Growth&Develpmt Global Econ,ALS,108,374,001,37,3.181,"[16.2, 43.2, 16.2, 13.5, 5.4, None, 2.7, 2.7, None, None, None, None, None, None, None]"
10,Growth&Develpmt Global Econ,ALS,108,375,001,5,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
11,Growth&Develpmt Global Econ,ALS,108,375,002,7,3.25,"[42.9, None, 14.3, 14.3, 14.3, None, None, None, None, None, None, None, None, 14.3, None]"
12,Special Topics,ALS,108,399,085,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
13,Special Topics,ALS,108,399,097,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
14,Special Topics,ALS,108,399,098,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
15,Agricultural Finance,ALS,108,419,001,62,3.825,"[79.0, 14.5, None, None, None, 3.2, None, None, None, None, None, None, 1.6, 1.6, None]"
16,Quant Mthds-Ag & Appl Econ,ALS,108,526,001,4,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
17,Applied Microeconomic Thry,ALS,108,635,001,17,3.5,"[23.5, 52.9, 23.5, None, None, None, None, None, None, None, None, None, None, None, None]"
