,#1,#2,#3,#4,#5,#6,#7,#8
0,Intro to Agr & Applied Econ,ALS,108,215,001,93,3.283,"[33.3, 17.2, 34.4, 4.3, 7.5, 2.2, None, 1.1, None, None, None, None, None, None, None]"
1,Environment&Global Economy,ALS,108,244,001,58,3.017,"[15.5, 25.9, 29.3, 15.5, 10.3, 1.7, 1.7, None, None, None, None, None, None, None, None]"
2,Independent Study,ALS,108,299,097,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
3,Independent Study,ALS,108,306,001,17,2.971,"[5.9, 41.2, 11.8, 23.5, 17.6, None, None, None, None, None, None, None, None, None, None]"
4,Independent Study,ALS,108,306,002,7,2.1,"[None, None, 28.6, 14.3, 14.3, None, 14.3, 28.6, None, None, None, None, None, None, None]"
5,Commodity Markets,ALS,108,322,001,56,2.855,"[23.2, 26.8, 8.9, 12.5, 10.7, 14.3, 1.8, 1.8, None, None, None, None, None, None, None]"
6,Environmental Economics,ALS,108,343,001,17,3.317,"[35.3, 17.6, 23.5, 11.8, 5.9, None, None, 5.9, None, None, None, None, None, None, None]"
7,World Hunger & Malnutrition,ALS,108,350,001,151,3.174,"[14.6, 41.1, 21.9, 13.2, 5.3, 2.0, 0.7, None, None, None, None, None, 1.3, None, None]"
8,"Globalizatn, Poverty&Develpmnt",ALS,108,373,001,35,3.543,"[54.3, 20.0, 17.1, 2.9, 2.9, 2.9, None, None, None, None, None, None, None, None, None]"
9,Coord Intrnshp/Cooprtv Educ,ALS,108,399,089,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
10,Economic Decision Analysis,ALS,108,421,001,31,2.371,"[9.7, 9.7, 16.1, 19.4, 29.0, 9.7, 6.5, None, None, None, None, None, None, None, None]"
11,Latin Amer Economc Develpmt,ALS,108,462,001,18,3.583,"[55.6, 27.8, 5.6, None, 11.1, None, None, None, None, None, None, None, None, None, None]"
12,Econ Probs-Developing Areas,ALS,108,474,001,20,3.125,"[45.0, 20.0, 10.0, 5.0, 5.0, 10.0, 5.0, None, None, None, None, None, None, None, None]"
13,Senior Capstone Experience,ALS,108,500,001,57,3.307,"[36.8, 22.8, 22.8, 7.0, 8.8, None, 1.8, None, None, None, None, None, None, None, None]"
14,Community Economic Analysis,ALS,108,520,001,4,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
15,Natural Resource Economics,ALS,108,531,001,15,3.567,"[46.7, 20.0, 33.3, None, None, None, None, None, None, None, None, None, None, None, None]"
16,Applied Econometric Anal II,ALS,108,637,001,13,3.833,"[15.4, 7.7, None, None, None, None, None, None, None, None, None, None, 76.9, None, None]"
17,Fndtns Agricultural Economics,ALS,108,641,001,5,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
18,Fndtns Environ/Resource Econ,ALS,108,643,001,24,3.521,"[25.0, 54.2, 20.8, None, None, None, None, None, None, None, None, None, None, None, None]"
19,Decisn Meth-Nat Resrc Mangr,ALS,108,652,001,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
20,Energy Economics,ALS,108,671,001,15,3.667,"[60.0, 26.7, 6.7, None, 6.7, None, None, None, None, None, None, None, None, None, None]"
21,Energy Economics,ALS,108,699,073,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
22,Energy Economics,ALS,108,699,080,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
23,Energy Economics,ALS,108,699,097,4,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
24,Development Economics 1,ALS,108,730,001,5,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
25,Econometrics Res/Energy Demand,ALS,108,772,001,18,3.861,"[72.2, 27.8, None, None, None, None, None, None, None, None, None, None, None, None, None]"
26,Sem Res/Energy Demand Analysis,ALS,108,773,001,18,3.639,"[44.4, 44.4, 5.6, 5.6, None, None, None, None, None, None, None, None, None, None, None]"
27,Practicum Res/Energy Demand I,ALS,108,774,001,18,4.0,"[100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
28,Research Colloquium,ALS,108,780,001,9,3.944,"[88.9, 11.1, None, None, None, None, None, None, None, None, None, None, None, None, None]"
