Intro to Ag & Applied Econ,ALS,108,215,1,49,3.177,"[20.4, 24.5, 32.7, 14.3, 4.1, 2.0, None, None, None, None, None, None, None, 2.0, None]"
Environment&Global Economy,ALS,108,244,1,49,3.032,"[22.4, 18.4, 26.5, 8.2, 16.3, 4.1, None, None, None, None, None, None, None, None, 2.0]"
Independent Study,ALS,108,299,97,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
The Real Estate Process,ALS,108,306,1,4,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Commodity Markets,ALS,108,322,1,49,2.625,"[22.4, 20.4, 10.2, 8.2, 16.3, 12.2, 8.2, None, None, None, None, None, 2.0, None, None]"
Environmental Economics,ALS,108,343,1,13,2.64,"[7.7, 7.7, 38.5, 7.7, 23.1, 7.7, None, 7.7, None, None, None, None, None, None, None]"
World Hunger & Malnutrition,ALS,108,350,1,99,3.459,"[35.4, 36.4, 18.2, 5.1, 1.0, 1.0, 1.0, None, None, None, None, None, 2.0, None, None]"
"Globalizatn, Poverty&Develpmnt",ALS,108,373,1,15,3.9,"[80.0, 20.0, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Special Topics,ALS,108,375,2,18,3.444,"[38.9, 27.8, 22.2, 5.6, 5.6, None, None, None, None, None, None, None, None, None, None]"
Latin Amer Economc Develpmt,ALS,108,462,1,13,3.625,"[53.8, 23.1, None, 15.4, None, None, None, None, None, None, None, None, 7.7, None, None]"
Econ Probs-Developing Areas,ALS,108,474,1,29,3.69,"[51.7, 34.5, 13.8, None, None, None, None, None, None, None, None, None, None, None, None]"
Senior Capstone Experience,ALS,108,500,1,53,3.913,"[88.7, 1.9, 7.5, None, None, None, None, None, None, None, None, None, 1.9, None, None]"
Community Economic Analysis,ALS,108,520,1,7,3.917,"[71.4, 14.3, None, None, None, None, None, None, None, None, None, None, 14.3, None, None]"
Natural Resource Economics,ALS,108,531,1,11,3.636,"[36.4, 54.5, 9.1, None, None, None, None, None, None, None, None, None, None, None, None]"
Fndtns Agricultural Economics,ALS,108,641,1,6,4,"[100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Fndtns Development Economics,ALS,108,642,1,10,3.667,"[50.0, 20.0, 20.0, None, None, None, None, None, None, None, None, None, 10.0, None, None]"
